Latitude,Longitude,Century_of_Origin,Known_Date_of_Origin,Dedication,Active_Devotion,MRO_Devotion,RAS)"
41.89578,12.49444,18,1701,2.1,0,,0
41.89501,12.47239,18,1701,2.1,1,2017,2
41.90581,12.47828,18,1701,2.1,0,,0
41.896656,12.468746,18,1701,2.1,0,,0
41.88972,12.47287,18,1701,2.1,0,,0
41.898508,12.475846,18,1701,2.1,0,,0
41.894444,12.487065,18,1701,2.1,0,,0
41.894151,12.479913,18,1701,2.1,0,,2
41.906036,12.483613,18,1701,2.1,0,,2
41.90125,12.47537,18,1701,2.1,0,,0
41.90703,12.47722,18,1701,2.1,0,,0
41.89305,12.48937,18,1701,2.1,0,,0
41.89822,12.46142,18,1701,2.1,0,,0
41.89296,12.48911,18,1701,2.1,0,,0
41.90513,12.48676,18,1701,2.1,0,,0
41.889929,12.469646,18,1701,2.1,0,,0
41.901161,12.460845,18,1901,2.1,0,,0
41.901952,12.48446,18,1701,2.111,0,,0
41.894839,12.47756,18,1701,2.12,1,2016,1
41.895512,12.473123,18,1701,2.122,0,,0
41.9,12.476719,18,1701,2.122,0,,0
41.902648,12.48632,18,1701,2.12222,0,,0
41.88822,12.47107,18,1701,2.1222222,0,,0
41.894337,12.487252,18,1701,2.122222222,0,,0
41.900098,12.479273,18,1701,2.122222222,0,,0
41.897414,12.473111,18,1701,2.122222222,0,,0
41.903725,12.482568,18,1701,2.122222222,0,,0
41.894356,12.478327,18,1701,2.122222222,0,,0
41.899746,12.477484,18,1701,2.1444,0,,0
41.895923,12.475786,18,1701,2.144444,0,,2
41.889451,12.473118,18,1701,2.144444,0,,2
41.892869,12.471479,18,1705,2.144444,0,,0
41.903421,12.460373,18,1701,2.1444441,0,,2
41.895819,12.477823,18,1701,2.1444441,0,,0
41.899269,12.479463,18,1701,2.15,0,,0
41.89025,12.46808,18,1701,2.15555,0,,2
41.896704,12.470766,18,1701,2.1555555,0,,0
41.894638,12.471947,18,1701,2.1888,0,,0
41.897841,12.475642,18,1701,2.19999,0,,0
41.899043,12.478641,18,1701,2.199999,0,,2
41.899386,12.473759,18,1701,2.22,0,,0
41.89781,12.47729,18,1701,2.22,0,,0
41.900506,12.470646,18,1701,2.22,0,,0
41.899432,12.475159,18,1701,2.22,0,,0
41.898439,12.472185,18,1701,2.22,0,,2
41.90329,12.47691,18,1701,2.22,0,,0
41.891271,12.4683,18,1701,2.22,0,,0
41.906629,12.478962,18,1701,2.2222,0,,0
41.896915,12.476893,18,1701,2.22222,1,2016,2
41.89398,12.48861,18,1701,2.22222,0,,2
41.89492,12.49263,18,1701,2.22222,0,,0
41.89966,12.48278,18,1701,2.22222,0,,0
41.903231,12.479573,18,1731,2.2222222,0,,0
41.892998,12.480899,18,1756,2.2222222,0,,0
41.909582,12.475075,18,1701,2.22222222,0,,0
41.900876,12.470185,18,1701,2.22222222,0,,1
41.898542,12.479541,18,1701,2.22222222,0,,0
41.899247,12.476519,18,1701,2.22222222,0,,0
41.902542,12.477036,18,1701,2.22222222,0,,0
41.897755,12.480343,18,1701,2.22222222,0,,0
41.895773,12.471459,18,1701,2.22222222,1,2014,0
41.8965,12.471084,18,1716,2.22222222,0,,0
41.89825,12.466212,18,1701,2.222222222,0,,2
41.89615,12.49724,18,1701,2.222222222,0,,0
41.893933,12.492412,18,1701,2.222222222,0,,0
41.90764,12.47937,18,1701,2.222222222,1,2014,1
41.895753,12.473973,18,1701,2.222222222,0,,2
41.900665,12.482221,18,1701,2.222222222,1,2016,0
41.88883,12.47729,18,1701,2.222222222,0,,0
41.900056,12.471135,18,1701,2.222222222,0,,2
41.901118,12.477008,18,1701,2.222222222,0,,0
41.89506,12.46225,18,1701,2.222222222,0,,0
41.894139,12.489993,18,1701,2.222222222,0,,0
41.904515,12.476659,18,1701,2.222222222,1,2016,2
41.887755,12.476908,18,1701,2.222222222,0,,2
41.896334,12.472658,18,1701,2.222222222,1,2016,0
41.900482,12.47928,18,1701,2.222222222,0,,2
41.899582,12.479708,18,1701,2.222222222,0,,0
41.90056,12.46853,18,1701,2.222222222,0,,0
41.900472,12.470881,18,1701,2.222222222,0,,0
41.901624,12.475026,18,1701,2.222222222,0,,0
41.890843,12.469933,18,1701,2.222222222,0,,2
41.890431,12.468831,18,1701,2.222222222,1,2008,2
41.89505,12.48937,18,1701,2.222222222,1,2016,1
41.890183,12.468857,18,1701,2.222222222,0,,1
41.900353,12.472473,18,1701,2.222222222,0,,0
41.898336,12.465698,18,1701,2.222222222,0,,2
41.898688,12.462855,18,1701,2.222222222,0,,0
41.900842,12.483714,18,1701,2.222222222,0,,0
41.899626,12.477451,18,1701,2.222222222,0,,0
41.897774,12.471814,18,1701,2.222222222,0,,0
41.903248,12.461021,18,1701,2.229,0,,2
41.892758,12.480379,18,1701,2.555555555,0,,0
41.893836,12.480139,18,1701,2.999999,0,,2
41.899975,12.476424,18,1701,4.44444,0,,0
41.88968,12.46921,18,1701,5.1,0,,2
41.876773,12.481463,18,1701,5.44,0,,2
41.897655,12.467649,18,1701,6,0,,0
41.897418,12.467977,18,1701,6.6,0,,0
41.906754,12.47893,18,1701,9,0,,0
41.895526,12.49283,18,1701,9,0,,2
41.87479,12.50105,18,1701,9,0,,0
41.896813,12.468759,19,1801,1.1,0,,0
41.927653,12.446538,19,1801,1.111,1,2015,1
41.89381,12.48788,19,1801,1.1111111,0,,0
41.892158,12.502639,19,1801,1.111111111,0,,2
41.89969,12.465563,19,1801,1.23,0,,0
41.900432,12.472178,19,1801,1.23,0,,0
41.899001,12.461622,19,1801,2,0,,0
41.908144,12.475989,19,1801,2,0,,0
41.895623,12.471833,19,1801,2,0,,0
41.89506,12.48663,19,1801,2,0,,0
41.89326,12.47779,19,1801,2,0,,0
41.90772,12.490746,19,1801,2,0,,0
41.894164,12.490907,19,1801,2,0,,0
41.904412,12.478097,19,1801,2,0,,0
41.89625,12.47633,19,1801,2,0,,2
41.90005,12.47537,19,1801,2,0,,0
41.901967,12.490575,19,1801,2,0,,0
41.893786,12.481701,19,1801,2,0,,0
41.899263,12.468431,19,1801,2,0,,0
41.89609,12.47282,19,1801,2,0,,0
41.894978,12.490674,19,1801,2,0,,0
41.899438,12.467683,19,1801,2,0,,2
41.890956,12.482745,19,1801,2,0,,0
41.896533,12.490062,19,1801,2,0,,0
41.903285,12.477774,19,1801,2,0,,0
41.895104,12.490263,19,1801,2,0,,0
41.88848,12.47515,19,1801,2,0,,0
41.898615,12.469858,19,1801,2,0,,2
41.908949,12.479203,19,1801,2,0,,0
41.897572,12.496055,19,1801,2,0,,0
41.90428,12.488854,19,1801,2,0,,0
41.901913,12.4952,19,1801,2,0,,0
41.89202,12.46957,19,1801,2,0,,0
41.89731,12.48156,19,1801,2,0,,2
41.90045,12.484991,19,1801,2,0,,0
41.890031,12.50295,19,1801,2,1,2016,2
41.89197,12.46917,19,1801,2,0,,0
41.901991,12.49076,19,1801,2,0,,0
41.895306,12.472539,19,1801,2,1,2015,2
41.89523,12.49199,19,1801,2,0,,0
41.89069,12.47075,19,1801,2,0,,2
41.909323,12.477888,19,1801,2,0,,0
41.907966,12.480362,19,1858,2,1,2016,1
41.89999,12.48464,19,1860,2,0,,1
41.895441,12.486912,19,1801,2.1,0,,0
41.89516,12.48077,19,1801,2.1,0,,1
41.911171,12.468335,19,1801,2.1,0,,0
41.91107,12.467888,19,1801,2.1,0,,0
41.914753,12.49405,19,1801,2.1,0,,0
41.895205,12.497126,19,1801,2.1,0,,0
41.908809,12.47716,19,1801,2.1,0,,0
41.896523,12.480774,19,1801,2.1,0,,0
41.896306,12.480215,19,1801,2.1,0,,0
41.900476,12.469846,19,1801,2.1,0,,0
41.900074,12.47182,19,1801,2.1,0,,0
41.894746,12.471356,19,1801,2.1,0,,0
41.893246,12.472074,19,1801,2.1,0,,0
41.893446,12.479144,19,1801,2.1,0,,0
41.90825,12.489368,19,1801,2.1,0,,0
41.905662,12.462559,19,1801,2.1,0,,0
41.906592,12.45778,19,1801,2.1,0,,0
41.890503,12.468649,19,1801,2.1,0,,2
41.88925,12.477064,19,1801,2.1,1,2008,1
41.904037,12.457825,19,1801,2.1,0,,2
41.90472,12.47892,19,1801,2.1,0,,0
41.900816,12.475959,19,1801,2.1,0,,0
41.889898,12.473001,19,1801,2.1,0,,0
41.899303,12.500837,19,1801,2.1,0,,0
41.89903,12.47582,19,1801,2.1,0,,0
41.901791,12.48186,19,1801,2.1,0,,0
41.90476,12.46112,19,1801,2.1,0,,0
41.89953,12.4707,19,1801,2.1,1,2016,2
41.90602,12.46687,19,1801,2.1,0,,0
41.9077,12.4781,19,1801,2.1,0,,0
41.900562,12.48368,19,1801,2.1,0,,0
41.890116,12.469906,19,1801,2.1,0,,2
41.89401,12.48107,19,1801,2.1,0,,0
41.908592,12.488218,19,1801,2.1,0,,0
41.89777,12.46131,19,1801,2.1,0,,0
41.897336,12.468618,19,1801,2.1,0,,0
41.903863,12.505778,19,1801,2.1,0,,0
41.894952,12.50144,19,1801,2.1,0,,0
41.905136,12.473249,19,1801,2.1,0,,0
41.89425,12.46944,19,1801,2.1,0,,2
41.893868,12.475171,19,1801,2.1,0,,0
41.889995,12.46662,19,1801,2.1,1,2014,1
41.891346,12.468717,19,1801,2.1,0,,2
41.902938,12.480471,19,1801,2.1,0,,0
41.886438,12.47693,19,1801,2.1,0,,0
41.90145,12.494497,19,1801,2.1,0,,0
41.90047,12.476537,19,1801,2.1,0,,0
41.89411,12.47971,19,1801,2.1,0,,0
41.901076,12.479467,19,1801,2.1,0,,0
41.906779,12.495501,19,1801,2.1,0,,0
41.88883,12.45029,19,1801,2.1,0,,0
41.905319,12.48664,19,1801,2.1,0,,0
41.903308,12.504967,19,1801,2.1,0,,0
41.90807,12.47947,19,1801,2.1,0,,0
41.90826,12.48837,19,1801,2.1,0,,0
41.89136,12.46859,19,1801,2.1,0,,0
41.903938,12.4843,19,1801,2.1,0,,1
41.907625,12.476948,19,1801,2.1,0,,9
41.897129,12.477992,19,1801,2.1,0,,0
41.90458,12.47704,19,1838,2.1,0,,0
41.909837,12.477264,19,1855,2.1,0,,0
41.88856,12.476719,19,1869,2.1,0,,0
41.895899,12.489002,19,1872,2.1,0,,0
41.893769,12.474046,19,1801,2.12,0,,2
41.877456,12.475929,19,1801,2.12,0,,0
41.888622,12.471205,19,1801,2.12222,0,,0
41.895492,12.491006,19,1801,2.12222,0,,0
41.88921,12.47585,19,1801,2.12222222,0,,0
41.900825,12.481752,19,1801,2.122222222,0,,0
41.901611,12.458907,19,1801,2.13,0,,0
41.89559,12.49975,19,1801,2.132,1,2016,0
41.891833,12.468851,19,1801,2.139,0,,0
41.88906,12.47623,19,1801,2.144444,0,,0
41.88892,12.477404,19,1801,2.144444,0,,0
41.90695,12.47002,19,1801,2.144444,1,2014,2
41.89447,12.47165,19,1864,2.144444,0,,2
41.899157,12.471956,19,1801,2.1444555,0,,0
41.88995,12.47016,19,1801,2.15,0,,0
41.904191,12.478054,19,1801,2.15555,0,,0
41.90036,12.467564,19,1867,2.1555555,0,,0
41.89304,12.50201,19,1801,2.15555555,0,,0
41.898124,12.471168,19,1801,2.155555556,0,,0
41.900513,12.4671,19,1801,2.22,0,,2
41.896212,12.469933,19,1801,2.22,0,,0
41.89319,12.478552,19,1801,2.222,0,,9
41.894422,12.48082,19,1801,2.222,0,,0
41.879727,12.47823,19,1900,2.2222,0,,0
